Date,Price,Open,High,Low,Vol.,Change %
2020-10-11,0.106476,0.104991,0.108958,0.104183,636.86M,1.44%
2020-10-10,0.104963,0.101306,0.111131,0.101306,1.01B,3.60%
2020-10-09,0.101318,0.096189,0.10251,0.094929,610.83M,5.34%
2020-10-08,0.096178,0.09373,0.097064,0.089962,522.49M,2.61%
2020-10-07,0.093734,0.092904,0.094388,0.089462,415.84M,0.89%
2020-10-06,0.092907,0.097451,0.098575,0.091535,563.64M,-4.67%
2020-10-05,0.097463,0.096825,0.09945,0.095921,506.97M,0.67%
2020-10-04,0.096816,0.09328,0.09799,0.092082,403.64M,3.79%
2020-10-03,0.093277,0.092777,0.095168,0.092182,373.34M,0.53%
2020-10-02,0.092783,0.098009,0.100199,0.089856,794.85M,-5.33%
2020-10-01,0.098012,0.101342,0.104468,0.095131,633.98M,-3.29%
2020-09-30,0.101347,0.101088,0.10162,0.09681,519.54M,0.26%
2020-09-29,0.101083,0.100382,0.103454,0.097492,627.55M,0.65%
2020-09-28,0.100429,0.101307,0.106597,0.100125,788.73M,-0.85%
2020-09-27,0.101292,0.095475,0.102416,0.094315,716.50M,6.11%
2020-09-26,0.095459,0.096904,0.099749,0.09238,678.24M,-1.49%
2020-09-25,0.096902,0.082542,0.098474,0.082355,1.17B,17.40%
2020-09-24,0.082543,0.076589,0.083659,0.075605,641.68M,7.77%
2020-09-23,0.076593,0.081464,0.082793,0.075622,493.21M,-5.98%
2020-09-22,0.081468,0.079711,0.083327,0.079303,527.85M,2.22%
2020-09-21,0.079702,0.089317,0.090123,0.077451,806.98M,-10.76%
2020-09-20,0.08931,0.091413,0.09221,0.087595,385.33M,-2.31%
2020-09-19,0.09142,0.091049,0.09313,0.090493,342.09M,0.38%
2020-09-18,0.091073,0.094073,0.094098,0.089685,234.73M,-3.19%
2020-09-17,0.094073,0.091446,0.09456,0.090811,539.47M,2.93%
2020-09-16,0.091396,0.093106,0.093326,0.089651,637.88M,-1.83%
2020-09-15,0.093098,0.096623,0.09792,0.092937,549.79M,-3.65%
2020-09-14,0.096628,0.095039,0.097988,0.093097,552.29M,1.69%
2020-09-13,0.095022,0.097656,0.099746,0.092596,452.10M,-2.70%
2020-09-12,0.097661,0.096936,0.098429,0.09449,349.31M,0.75%
2020-09-11,0.096932,0.097015,0.097517,0.093122,456.90M,-0.08%
2020-09-10,0.097011,0.093323,0.099405,0.093268,579.55M,3.95%
2020-09-09,0.093323,0.091022,0.095743,0.089296,459.46M,2.53%
2020-09-08,0.091018,0.093568,0.096896,0.088509,725.15M,-2.73%
2020-09-07,0.093569,0.092596,0.094117,0.086284,689.52M,1.05%
2020-09-06,0.092594,0.089969,0.09556,0.085581,713.37M,2.92%
2020-09-05,0.089965,0.101652,0.103858,0.086249,989.94M,-11.51%
2020-09-04,0.101663,0.094784,0.103898,0.092762,1.24B,7.26%
