Trade DATE,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS,AGG,SPY,VTI,VTV,VOE,VBR,VEA,VWO,IEMG,BTC,ADA,ETH,UNI,GLD,BAR,UGL,DBP,ZI,ZG
2021-04-15,148.57,255.04,134.5,251.1799,232.54,51.64,103.44,338.62,322.84,229.87,132.61,65.04,160.49,53.34,152.16,231.28,197.52,76.68,259.56,133.67,137.22,154.38,390.16,233.08,57.7,226.36,53.71,140.16,185.92,114.81,415.82,216.57,134.54,138.34,169.6,51.075,52.61,65.5,63216.0,1.478656,2514.22,37.7447,165.33,17.54,57.44,49.19,47.58,143.4
2021-04-16,149.99,255.72,134.15,248.2,233.32,52.81,102.97,342.45,328.18,232.06,133.62,64.75,162.27,53.68,153.33,233.15,198.61,77.47,260.74,134.3,137.32,155.95,391.01,231.89,58.26,226.49,53.31,140.54,187.26,114.54,417.31,217.13,135.32,138.97,170.5108,51.37,52.8,65.68,61379.7,1.410876,2423.18,36.1211,166.37,17.64,58.16,49.51,47.91,135.91
2021-04-19,148.55,255.86,134.921,244.23,232.51,52.89,103.31,343.31,326.51,230.96,133.19,63.64,163.0,54.0,152.73,231.8,198.69,77.67,258.96,132.6,136.58,154.5,389.42,230.59,58.42,225.95,53.78,139.76,187.53,114.44,415.24,215.77,135.01,138.46,169.69,51.23,52.67,65.5,55646.1,1.1958540000000002,2160.63,31.4223,165.9,17.595,57.7984,49.235,47.38,134.68
2021-04-20,145.13,259.14,133.12,234.06,227.62,51.79,101.31,331.88,323.9593,227.3,138.2,62.71,166.47,54.17,149.27,233.02,198.23,78.57,258.28,127.14,137.75,155.63,396.75,227.96,58.38,223.36,53.35,140.79,182.8,114.62,412.22,213.84,133.98,137.14,166.44,50.38,52.26,65.02,56483.2,1.2673530000000002,2332.14,31.9898,166.49,17.66,58.23,49.48,45.63,131.56
2021-04-21,147.15,258.74,133.49,235.91,232.47,51.93,102.77,335.33,325.9,230.55,143.64,63.66,166.64,54.62,150.54,232.31,200.95,79.25,260.61,129.89,136.87,157.36,398.8,230.54,58.13,227.35,54.04,141.22,183.11,114.74,416.08,216.29,135.39,139.04,169.7,50.85,52.69,65.46,53820.2,1.20451,2360.81,33.4146,168.13,17.825,59.3701,50.095,49.1,137.04
2021-04-22,147.16,255.05,131.94,234.25,228.89,51.49,100.96,330.85,321.39,229.1,141.28,62.57,165.19,54.44,147.36,232.96,201.01,77.97,257.2,129.17,134.64,155.82,396.55,231.45,57.287,227.58,52.59,139.66,182.6971,114.77,412.3,214.55,134.26,137.9,168.69,50.64,52.59,65.22,51729.5,1.14634,2401.1,33.9543,167.05,17.72,58.63,49.67,49.6,134.14
2021-04-23,144.3,256.99,134.3,238.355,230.11,51.91,101.55,339.33,323.79,224.5,142.43,59.25,165.44,54.46,150.21,234.58,202.3,77.88,261.13,130.17,133.94,157.86,400.38,233.473,57.3,230.0,53.01,139.88,183.0294,114.75,416.72,217.17,135.3,139.42,171.49,51.18,53.3,66.125,51143.6,1.1568319999999999,2367.31,32.9372,166.39,17.65,58.11,49.39,51.33,138.94
2021-04-26,150.39,255.49,134.73,241.43,230.56,51.65,101.52,343.65,320.05,221.46,141.63,58.74,164.23,53.67,150.4901,232.31,199.58,77.53,261.55,131.6299,131.23,155.8,395.85,235.52,56.94,230.43,52.73,137.92,184.39,114.65,417.64,217.94,135.1,140.1,172.55,51.29,53.37,66.255,54020.5,1.234457,2533.12,38.19,166.84,17.7,58.4201,49.58,53.04,143.66
2021-04-27,150.36,255.23,134.39,242.14,230.32,51.37,102.7,346.51,320.5701,222.8,142.01,57.97,163.18,53.58,151.22,235.01,194.38,77.36,262.18,132.11,131.17,155.19,394.55,234.1,56.32,229.55,52.5,138.39,184.59,114.37,417.48,217.89,135.39,140.38,173.35,51.13,53.45,66.26,55036.5,1.3079290000000001,2665.24,39.608000000000004,166.42,17.645,58.13,49.59,52.21,141.77
2021-04-28,152.55,236.79,133.7801,235.53,232.31,51.11,105.29,348.37,319.78,222.86,143.04,57.61,161.98,53.6,152.26,232.47,196.11,77.12,254.71,130.76,131.41,153.79,394.96,236.97,56.45,233.52,52.41,137.92,183.45,114.44,417.35,217.86,135.59,140.49,173.66,51.29,53.9,66.75,54841.4,1.336893,2746.54,42.836999999999996,166.93,17.7,58.45,49.56,52.51,139.07
