Trade DATE,VTIP,AGG,MUB,BNDX,EMB,JPST,GBIL,SHV,OIL,OILK,BNO,COG,GLD,BAR,UGL,DBP,ZI,ZG
2021-06-18,52.1213,115.29,117.325,57.08,112.27,50.72,100.1,110.485,20.9,62.81,18.72,15.33,164.9,17.51,56.71,49.11,51.4,117.99
2021-06-21,52.17,114.96,117.18,57.03,112.2,50.7175,100.105,110.48,21.25,64.02,19.11,15.93,166.93,17.715,58.0671,49.46,52.0,113.8
2021-06-22,52.305,115.11,117.2,57.04,112.14,50.73,100.1,110.48,21.335,61.24,19.11,16.06,166.26,17.64,57.64,49.44,51.87,115.66
2021-06-23,52.32,115.05,116.91,57.01,112.28,50.73,100.1,110.4801,21.4404,61.55,19.245,16.4,166.17,17.63,57.56,49.43,52.78,118.15
2021-06-24,52.285,115.07,116.945,57.04,112.32,50.73,100.1,110.5,21.54,61.7,19.29,16.57,166.02,17.61,57.48,49.3799,53.18,121.87
2021-06-25,52.31,114.89,116.95,56.94,112.12,50.715,100.11,110.49,21.69,62.223,19.43,16.82,166.58,17.675,57.805,49.415,53.85,118.87
2021-06-28,52.32,115.16,117.1,57.07,112.335,50.73,100.101,110.485,21.37,61.33,19.11,16.31,166.58,17.67,57.81,49.54,53.42,124.55
2021-06-29,52.3699,115.25,117.12,57.015,112.3,50.7301,100.11,110.48,21.57,61.7205,19.25,16.29,164.82,17.495,56.6,48.9417,53.43,124.59
2021-06-30,52.4,115.35,117.18,57.1,112.45,50.74,100.11,110.49,21.54,61.7517,19.25,17.46,165.65,17.575,57.22,49.21,52.17,122.54
2021-07-01,51.925,115.115,117.07,57.09,111.96,50.71,100.1,110.485,21.81,62.43,19.47,17.85,166.21,17.635,57.6,49.41,51.4,121.48
2021-07-02,52.01,115.37,117.19,57.21,112.13,50.7,100.11,110.48,21.97,63.039,19.655,17.84,167.32,17.76,58.32,49.86,51.82,117.92
2021-07-06,52.03,115.75,117.32,57.315,112.21,50.705,100.1,110.48,21.49,61.651,19.31,17.005,168.12,17.85,58.95,49.76,52.6,120.35
2021-07-07,51.995,115.95,117.465,57.435,112.41,50.72,100.11,110.48,20.97,60.285,18.84,17.04,168.78,17.905,59.38,49.95,51.59,119.18
2021-07-08,52.0,116.06,117.69,57.43,112.19,50.725,100.1,110.4812,21.28,61.14,19.14,17.4,168.67,17.9,59.3,49.7799,51.82,114.58
2021-07-09,52.04,115.69,117.6,57.31,112.13,50.72,100.1,110.485,21.74,62.23,19.47,17.62,169.2,17.96,59.67,50.1,52.645,116.7
